Customer_Identifier|Fund_Identifier|Period_Ending|Relationship_Started|Service_Provider_Identifier|Service_Type|TM_AUM_Under_Authority
1|10035920|3/31/2023||||-6312.5
1|10035920|3/31/2023||||-312
1|10035920|3/31/2023||||-8532
1|10035920|3/31/2023||||-3516
1|10035920|3/31/2023||||-11772
1|10035920|3/31/2023||||-1960
1|10035920|3/31/2023||||-5092
1|10035920|3/31/2023||||-462
1|10035920|3/31/2023||||25
1|10035920|3/31/2023||||286.5
1|10035920|3/31/2023||||-671.25
1|10035920|3/31/2023||||200
1|10035920|3/31/2023||||-788
1|10035920|3/31/2023||||972
1|10035920|3/31/2023||||-4907.5
1|10035920|3/31/2023||||-9.5
1|10035920|3/31/2023||||285.5
1|10035920|3/31/2023||||2635.5
1|10035920|3/31/2023||||2626
1|10035920|3/31/2023||||-74853
1|10035920|3/31/2023||||277
1|10035920|3/31/2023||||-188.75
1|10035920|3/31/2023||||442
1|10035920|3/31/2023||||22.5
1|10035920|3/31/2023||||-878.5
1|10035920|3/31/2023||||-8296.25
1|10035920|3/31/2023||||1523.75
1|10035920|3/31/2023||||7451.75
1|10035920|3/31/2023||||3964.25
1|10035920|3/31/2023||||-2394
1|10035920|3/31/2023||||-582.5
1|10035920|3/31/2023||||-161.75
1|10035920|3/31/2023||||-727.5
1|10035920|3/31/2023||||737.5
1|10035920|3/31/2023||||-49559.5
1|10035920|3/31/2023||||-1337.5
1|10035920|3/31/2023||||-450.5
1|10035920|3/31/2023||||1316
1|10035920|3/31/2023||||1635
1|10035920|3/31/2023||||-1707.75
1|10035920|3/31/2023||||-23602.5
1|10035920|3/31/2023||||-613.25
1|10035920|3/31/2023||||339
1|10035920|3/31/2023||||1468.75
1|10035920|3/31/2023||||1360
1|10035920|3/31/2023||||1346.25
1|10035920|3/31/2023||||-6515.75
1|10035920|3/31/2023||||-1200
1|10035920|3/31/2023||||7170
1|10035920|3/31/2023||||-1362.5
1|10035920|3/31/2023||||0
1|10035920|3/31/2023||||-1166
1|10035920|3/31/2023||||57899.5
1|10035920|3/31/2023||||-9611.25
1|10035920|3/31/2023||||-1489.5
1|10035920|3/31/2023||||2991
1|10035920|3/31/2023||||-9406.25
1|10035920|3/31/2023||||6451.25
1|10035920|3/31/2023||||-5084
1|10035920|3/31/2023||||-14571.5
1|10035920|3/31/2023||||15671
1|10035920|3/31/2023||||32904
1|10035920|3/31/2023||||7712
1|10035920|3/31/2023||||-14220.25
1|10035920|3/31/2023||||-40082.25
1|10035920|3/31/2023||||-4398
1|10035920|3/31/2023||||-991.75
1|10035920|3/31/2023||||-2613
1|10035920|3/31/2023||||460.75
1|10035920|3/31/2023||||-75.5
1|10035920|3/31/2023||||-270.5
1|10035920|3/31/2023||||-3285.25
1|10035920|3/31/2023||||-21319.75
1|10035920|3/31/2023||||3723.5
1|10035920|3/31/2023||||3164.25
1|10035920|3/31/2023||||-23234.75
1|10035920|3/31/2023||||3970
1|10035920|3/31/2023||||-1388.75
1|10035920|3/31/2023||||-22675.5
1|10035920|3/31/2023||||7075
1|10035920|3/31/2023||||-843852.5
1|10035920|3/31/2023||||9341.75
1|10035920|3/31/2023||||-1742.75
1|10035920|3/31/2023||||-4722.5
