Custodian_Identifier|Customer_Identifier|Fund_Identifier|Mark_to_Market_Value|Market_Value|Period_Date|Position_Identifier|Position_Type|Security_Identifier|Cost|YTD GL
|1|10035918|0|0|3/31/2023|1040965430||1040965430|0|0
|1|10035918|0|0|3/31/2023|1040828626||1040828626|0|0
|1|10035918|0|0|3/31/2023|1041123800||1041123800|0|0
|1|10035918|0|0|3/31/2023|1040617566||1040617566|0|0
|1|10035918|0|0|3/31/2023|1041207822||1041207822|0|0
|1|10035918|0|0|3/31/2023|1040845710||1040845710|0|0
|1|10035918|0|0|3/31/2023|1041226599||1041226599|0|0
|1|10035918|0|0|3/31/2023|1040692253||1040692253|0|0
|1|10035918|0|0|3/31/2023|1041413137||1041413137|0|0
|1|10035918|0|0|3/31/2023|1041054967||1041054967|0|0
|1|10035918|0|0|3/31/2023|1041246108||1041246108|0|0
|1|10035918|0|0|3/31/2023|1041004523||1041004523|0|0
|1|10035918|0|0|3/31/2023|1041289031||1041289031|0|0
|1|10035918|0|0|3/31/2023|1041157732||1041157732|0|0
|1|10035918|0|0|3/31/2023|1041837397||1041837397|0|0
|1|10035918|0|0|3/31/2023|1041140952||1041140952|0|0
|1|10035918|0|0|3/31/2023|1040585637||1040585637|0|0
|1|10035918|0|0|3/31/2023|1040575474||1040575474|0|0
|1|10035918|0|0|3/31/2023|1040660816||1040660816|0|0
|1|10035918|0|0|3/31/2023|1041397899||1041397899|0|0
|1|10035918|0|0|3/31/2023|1040754699||1040754699|0|0
|1|10035918|0|0|3/31/2023|1040910915||1040910915|0|0
|1|10035918|0|0|3/31/2023|1040823359||1040823359|0|0
|1|10035918|0|0|3/31/2023|1040681383||1040681383|0|0
|1|10035918|0|0|3/31/2023|1041079581||1041079581|0|0
|1|10035918|0|0|3/31/2023|1040950412||1040950412|0|0
|1|10035918|0|0|3/31/2023|1041437463|Short|1041437463|0|0
|1|10035918|0|0|3/31/2023|1040712942||1040712942|0|0
|1|10035918|0|0|3/31/2023|1040987108||1040987108|0|0
|1|10035918|0|0|3/31/2023|1040787224||1040787224|0|0
|1|10035918|0|0|3/31/2023|1041041332||1041041332|0|0
|1|10035918|0|0|3/31/2023|1040896316||1040896316|0|0
|1|10035918|0|0|3/31/2023|1041178390||1041178390|0|0
|1|10035918|0|0|3/31/2023|1041028725||1041028725|0|0
|1|10035918|0|0|3/31/2023|1041352272||1041352272|0|0
|1|10035918|0|0|3/31/2023|1041191944||1041191944|0|0
|1|10035918|0|0|3/31/2023|1040668398||1040668398|0|0
|1|10035918|0|0|3/31/2023|1041317259||1041317259|0|0
|1|10035918|0|0|3/31/2023|1040803110||1040803110|0|0
|1|10035918|0|0|3/31/2023|1040552785||1040552785|0|0
|1|10035918|0|0|3/31/2023|1040858739||1040858739|0|0
|1|10035918|0|0|3/31/2023|1040506444||1040506444|0|0
|1|10035918|0|0|3/31/2023|1040660846||1040660846|0|0
|1|10035918|0|0|3/31/2023|1040366613||1040366613|0|0
|1|10035918|0|0|3/31/2023|1040431318||1040431318|0|0
|1|10035918|0|0|3/31/2023|1040803141||1040803141|0|0
|1|10035918|0|0|3/31/2023|1040910861||1040910861|0|0
|1|10035918|0|0|3/31/2023|1040358952||1040358952|0|0
|1|10035918|0|0|3/31/2023|1040880616||1040880616|0|0
|1|10035918|0|0|3/31/2023|1040845741||1040845741|0|0
|1|10035918|0|0|3/31/2023|1040965376||1040965376|0|0
|1|10035918|0|0|3/31/2023|1040575486||1040575486|0|0
|1|10035918|0|0|3/31/2023|1040987143||1040987143|0|0
|1|10035918|0|0|3/31/2023|1040928313||1040928313|0|0
|1|10035918|0|0|3/31/2023|1041067151||1041067151|0|0
|1|10035918|0|0|3/31/2023|1040617829||1040617829|0|0
|1|10035918|0|0|3/31/2023|1041028760||1041028760|0|0
|1|10035918|0|0|3/31/2023|1041157678||1041157678|0|0
|1|10035918|0|0|3/31/2023|1041207876||1041207876|0|0
|1|10035918|0|0|3/31/2023|1040585583||1040585583|0|0
|1|10035918|0|0|3/31/2023|1041004469||1041004469|0|0
|1|10035918|0|0|3/31/2023|1041192309||1041192309|0|0
|1|10035918|0|0|3/31/2023|1041041278||1041041278|0|0
|1|10035918|0|0|3/31/2023|1040692199||1040692199|0|0
|1|10035918|0|0|3/31/2023|1041382296||1041382296|0|0
|1|10035918|0|0|3/31/2023|1041397949||1041397949|0|0
|1|10035918|0|0|3/31/2023|1041178424||1041178424|0|0
|1|10035918|0|0|3/31/2023|1040644348||1040644348|0|0
|1|10035918|0|0|3/31/2023|1041413187||1041413187|0|0
|1|10035918|0|0|3/31/2023|1040303784||1040303784|0|0
|1|10035918|0|0|3/31/2023|1041230888||1041230888|0|0
|1|10035918|0|0|3/31/2023|1040741467||1040741467|0|0
|1|10035918|0|0|3/31/2023|1041837343||1041837343|0|0
|1|10035918|0|0|3/31/2023|1040713468||1040713468|0|0
|1|10035918|0|0|3/31/2023|1040552820||1040552820|0|0
|1|10035918|0|0|3/31/2023|1040823305||1040823305|0|0
|1|10035918|0|0|3/31/2023|1040668452||1040668452|0|0
|1|10035918|0|0|3/31/2023|1040828572||1040828572|0|0
|1|10035918|0|0|3/31/2023|1040681411||1040681411|0|0
|1|10035918|0|0|3/31/2023|1040754623||1040754623|0|0
|1|10035918|0|0|3/31/2023|1040787170||1040787170|0|0
|1|10035918|0|0|3/31/2023|1040896260||1040896260|0|0
|1|10035918|0|0|3/31/2023|1040858685||1040858685|0|0
|1|10035918|0|0|3/31/2023|1040950466||1040950466|0|0
|1|10035918|0|0|3/31/2023|1041079527||1041079527|0|0
|1|10035918|0|0|3/31/2023|1041123746||1041123746|0|0
|1|10035918|0|0|3/31/2023|1040397994||1040397994|0|0
|1|10035918|0|0|3/31/2023|1041226545||1041226545|0|0
|1|10035918|0|0|3/31/2023|1040705049||1040705049|0|0
|1|10035918|0|0|3/31/2023|1041140898||1041140898|0|0
|1|10035918|0|0|3/31/2023|1041054910||1041054910|0|0
|1|10035918|0|0|3/31/2023|1041317205||1041317205|0|0
|1|10035918|0|0|3/31/2023|1041437413|Short|1041437413|0|0
